CHR	Location	Associated Gene (ORF)	Associated Gene (Name)	Alignability	Pho4 Occupancy ChIP No Pi	Pho4 Occupancy Input No Pi 	Pho4 Occupancy ChIP High Pi	Pho4 Occupancy Input High Pi	Pho4 Occupancy ChIP in pho80Δ	Pho4 Occupancy ChIP in pho80Δ cbf1Δ	Pho4 Occupancy ChIP in No Pi Pho2Δ	Pho2 Occupancy ChIP No Pi	Pho2 Occupancy Input No Pi 	Pho2 Occupancy ChIP High Pi	Pho2 Occupancy Input High Pi	Cbf1 Occupancy ChIP No Pi	Cbf1 Occupancy Input No Pi	Cbf1 Occupancy ChIP High Pi	Cbf1 Occupancy Input High Pi	Mock IP Occupancy ChIP No Pi	Mock IP Occupancy ChIP High Pi	Nucleosome High Pi	Nucleosome No Pi	Nucleosome cbf1Δ high Pi	PHO4 Enrichment No Pi	PHO4 Enrichment High Pi	Pho2 Enrichment No Pi	Pho2 Enrichment High Pi	Cbf1 Enrichment No Pi	Cbf1 Enrichment High Pi	Pho4 Recruitment (No Pi/ High Pi)	Pho2 Recruitment (No Pi/ High Pi)	Pho4 binding No Pi	Cbf1 binding No Pi	Pho4 binding High Pi	Cbf1 binding High Pi
chr2	2431	YBL112C YBL113C 	YBL112C YBL113C 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	26897	NA	NA	1	15	184	13	67	37	10	6	26	93	9	54	36	61	45	65	7	22	363	409	320	0.8	0.9	0.9	0.9	2.7	0.9	0.8	0.9	0	0	0	0
chr2	39925	NA	NA	1	8	152	11	59	18	10	4	23	86	8	60	318	59	341	46	7	13	334	374	387	0.5	1	0.8	0.7	24.5	10	0.5	1.1	0	1	0	1
chr2	62395	YBL086C 	YBL086C 	1	28	205	23	70	46	12	10	33	126	12	82	52	79	176	91	13	32	740	570	674	1.3	1.7	0.8	0.8	3	2.6	0.8	1	0	1	0	1
chr2	63523	YBL085W 	BOI1 	1	44	186	25	83	47	35	7	78	118	28	69	445	84	924	68	11	46	147	366	155	2.2	1.5	2	2.1	24.2	18.3	1.5	0.9	0	1	0	1
chr2	84030	YBL076C 	ILS1 	1	34	215	19	104	47	11	11	57	118	20	86	28	75	53	81	7	51	525	611	621	1.5	0.9	1.5	1.2	1.7	0.9	1.6	1.2	0	0	0	0
chr2	91127	YBL069W 	AST1 	1	36	198	12	76	48	18	16	47	133	21	76	65	91	126	68	5	36	641	677	564	1.7	0.8	1.1	1.4	3.2	2.5	2.2	0.8	0	1	0	1
chr2	92214	YBL068W 	PRS4 	1	90	159	15	72	51	63	9	193	111	21	66	273	59	325	52	11	26	590	443	515	5.4	1.1	5.3	1.7	21.1	8.5	5	3.1	1	1	0	1
chr2	115606	NA	NA	1	22	192	25	65	45	23	7	49	93	19	55	25	55	58	69	14	56	547	603	529	1.1	1.9	1.6	1.8	2	1.1	0.5	0.9	0	0	0	0
chr2	116604	YBL055C 	YBL055C 	1	16	205	20	76	26	19	4	45	105	17	84	53	81	121	79	7	16	664	726	752	0.7	1.3	1.3	1.1	3	2.1	0.6	1.2	0	1	0	1
chr2	167753	YBL027W YBL028C 	RPL19B YBL028C 	1	15	190	22	71	35	13	6	38	115	20	82	97	61	170	57	8	30	733	575	651	0.7	1.6	1	1.3	7.2	4	0.5	0.8	0	1	0	1
chr2	173887	NA	NA	1	18	199	12	82	33	6	11	29	98	12	66	205	79	670	60	5	33	201	247	296	0.9	0.7	0.9	1	11.8	15.2	1.2	0.9	0	1	0	1
chr2	194292	YBL015W 	ACH1 	1	21	216	20	94	51	17	10	33	93	11	85	209	97	471	81	8	26	722	625	679	0.9	1.1	1.1	0.7	9.8	7.9	0.9	1.6	0	1	0	1
chr2	198185	NA	NA	1	14	155	9	56	25	14	13	36	83	8	67	43	16	11	74	1	2	505	464	541	0.9	0.8	1.3	0.6	12.4	0.2	1.1	2.1	0	0	0	0
chr2	205009	NA	NA	1	42	214	16	75	35	16	9	41	117	6	55	34	73	54	72	15	70	528	408	552	1.9	1.1	1.1	0.5	2.1	1	1.8	2	0	0	0	0
chr2	258411	YBR011C 	IPP1 	1	16	183	10	55	32	7	11	21	86	6	60	10	35	6	52	4	11	735	784	508	0.8	0.9	0.8	0.5	1.3	0.2	0.9	1.5	0	0	0	0
chr2	269736	YBR016W YBR015C 	YBR016W MNN2 	1	48	189	17	81	38	38	9	101	88	38	69	475	67	920	60	8	15	68	72	136	2.4	1	3.5	2.9	32.5	20.6	2.3	1.2	0	1	0	1
chr2	290141	YBR024W 	SCO2 	1	40	212	29	83	31	8	5	41	100	10	82	84	83	183	62	4	29	293	421	334	1.8	1.8	1.3	0.6	4.6	4	1	1.9	0	1	0	1
chr2	309977	YBR036C 	CSG2 	1	64	194	16	107	35	21	10	47	113	17	95	25	102	159	94	13	45	573	671	498	3.1	0.8	1.3	0.9	1.1	2.3	4	1.4	0	0	0	1
chr2	329410	NA	NA	1	22	189	24	74	44	14	16	40	126	12	63	42	83	88	67	14	49	542	404	532	1.1	1.6	0.9	1	2.3	1.8	0.7	1	0	0	0	0
chr2	336857	YBR049C 	REB1 	1	40	230	11	74	26	14	6	67	111	10	84	35	68	37	77	5	11	793	863	750	1.6	0.8	1.8	0.6	2.4	0.7	2.1	2.9	0	0	0	0
chr2	371557	YBR066C 	NRG2 	1	51	217	15	89	55	18	10	92	133	19	74	112	74	152	65	4	30	277	343	424	2.2	0.9	2.1	1.4	6.9	3.2	2.5	1.5	0	1	0	1
chr2	371666	NA	NA	1	75	192	24	89	111	64	36	105	121	26	69	271	73	710	62	14	29	456	376	325	3.7	1.4	2.6	2	16.9	15.4	2.7	1.3	0	1	0	1
chr2	379502	YBR070C 	YBR070C 	1	49	242	28	83	38	18	16	59	105	24	75	95	65	140	66	8	30	441	548	510	1.9	1.7	1.7	1.7	6.6	2.9	1.1	1	0	1	0	1
chr2	426197	YBR089C-A YBR088C YBR090C 	NHP6B POL30 YBR090C 	1	47	220	17	80	44	19	12	72	107	15	82	45	65	71	73	6	30	249	372	258	2	1.1	2	1	3.2	1.3	1.8	2.1	0	0	0	0
chr2	427036	YBR091C YBR089C-A YBR090C 	MRS5 NHP6B YBR090C 	1	36	193	14	85	44	128	5	110	113	32	70	7767	55	18762	51	11	22	40	30	61	1.8	0.8	3	2.4	639.8	496.9	2.2	1.2	0	1	0	1
chr2	431201	YBR093C 	PHO5 	1	408	191	12	82	428	79	8	356	115	17	61	64	55	15	66	11	21	694	576	739	20.3	0.7	9.4	1.5	5.3	0.3	28.7	6.4	1	1	0	0
chr2	458038	YBR109C 	CMD1 	1	48	199	22	79	41	20	11	58	101	8	85	44	77	150	79	7	36	484	498	480	2.3	1.4	1.7	0.5	2.6	2.6	1.7	3.8	0	0	0	1
chr2	461233	YBR111C 	YSA1 	1	29	244	33	75	33	24	6	52	98	17	87	66	83	188	80	15	24	956	1058	1021	1.1	2.2	1.6	1.1	3.6	3.2	0.5	1.5	0	1	0	1
chr2	466583	YBR112C YBR114W 	CYC8 RAD16 	1	28	169	14	69	54	53	21	83	114	22	76	392	86	1115	60	14	40	119	250	129	1.6	1	2.2	1.5	20.6	25	1.6	1.4	0	1	0	1
chr2	472899	NA	NA	1	47	166	14	70	33	19	8	64	115	24	77	43	56	55	57	5	55	484	424	432	2.7	1	1.7	1.6	3.5	1.3	2.6	1	0	0	0	0
chr2	501265	YBR132C 	AGP2 	1	29	217	18	81	37	15	9	44	99	18	69	25	79	107	77	13	46	677	708	586	1.3	1.1	1.4	1.4	1.4	1.9	1.1	1	0	0	0	0
chr2	509498	NA	NA	1	15	153	15	50	19	8	5	24	94	3	47	4	23	5	51	2	4	428	485	318	1	1.5	0.8	0.4	0.8	0.1	0.6	2	0	0	0	0
chr2	509650	NA	NA	1	25	209	2	59	24	13	7	15	105	14	52	9	28	17	57	7	13	580	650	704	1.2	0.2	0.4	1.4	1.4	0.4	5.8	0.3	0	0	0	0
chr2	545622	YBR151W YBR152W 	APD1 SPP381 	1	8	213	10	66	34	18	10	53	111	21	70	39	87	97	73	5	47	605	614	663	0.3	0.8	1.4	1.6	2	1.8	0.5	0.9	0	0	0	0
chr2	568971	YBR165W YBR164C 	UBS1 ARL1 	1	33	155	22	79	31	10	11	28	109	14	84	45	55	90	53	10	18	569	669	720	2	1.4	0.8	0.9	3.7	2.3	1.4	0.9	0	0	0	0
chr2	586719	YBR177C 	EHT1 	1	30	171	18	67	33	6	9	33	86	9	60	17	37	16	51	3	27	550	574	449	1.7	1.4	1.1	0.8	2.1	0.4	1.2	1.4	0	0	0	0
chr2	594587	YBR182C 	SMP1 	1	21	208	5	59	20	22	6	51	89	13	56	34	62	68	80	11	17	320	418	301	1	0.5	1.7	1.2	2.5	1.2	2.1	1.4	0	0	0	0
chr2	617271	NA	NA	1	29	201	26	75	53	12	8	62	102	20	69	204	60	374	61	11	30	391	407	455	1.4	1.7	1.8	1.5	15.5	8.3	0.8	1.2	0	1	0	1
chr2	644838	YBR210W 	YBR210W 	1	39	228	24	99	48	16	10	69	121	20	79	26	79	70	93	10	28	821	815	829	1.6	1.2	1.7	1.3	1.5	1	1.3	1.3	0	0	0	0
chr2	650161	YBR213W 	MET8 	1	20	150	5	49	22	21	5	56	77	21	46	119	34	128	38	2	6	63	50	68	1.3	0.5	2.2	2.4	16	4.6	2.5	0.9	0	1	0	1
chr2	668784	YBR222C 	FAT2 	1	26	140	23	98	44	150	11	72	109	24	88	8058	97	31885	77	9	18	73	95	128	1.7	1.2	2	1.4	376.2	562.7	1.5	1.4	0	1	0	1
chr2	668801	YBR222C 	FAT2 	1	17	144	20	96	42	164	12	69	114	27	86	8810	99	34360	74	11	20	115	97	98	1.1	1	1.8	1.7	404.3	625.3	1.1	1.1	0	1	0	1
chr2	678534	YBR229C 	ROT2 	1	12	179	13	68	23	11	6	47	96	14	68	15	62	46	59	6	31	515	642	563	0.6	0.9	1.5	1	1.1	1.1	0.7	1.4	0	0	0	0
chr2	706660	YBR243C 	ALG7 	1	18	162	18	85	33	12	13	36	102	18	72	26	69	31	51	9	35	851	805	762	1.1	1	1.1	1.3	1.7	0.8	1	0.8	0	0	0	0
chr2	709804	NA	NA	1	14	162	14	65	24	16	12	33	109	9	66	28	60	38	62	7	26	404	450	453	0.8	1.1	0.9	0.7	2.1	0.8	0.8	1.3	0	0	0	0
chr2	776387	YBR287W 	YBR287W 	1	84	151	9	38	69	71	11	76	75	14	50	160	29	129	37	2	16	32	27	36	5.3	1.2	3.1	1.4	24.9	4.8	4.3	2.2	1	1	0	1
chr2	798842	YBR296C 	PHO89 	1	561	145	5	46	689	179	8	691	66	4	31	35	25	3	40	2	6	484	234	438	36.9	0.6	31.8	0.7	6.3	0.1	62.6	46.9	1	0	0	0
chr3	20315	NA	NA	1	20	216	9	77	36	5	7	45	115	12	69	16	64	24	54	8	18	565	341	525	0.9	0.6	1.2	0.9	1.2	0.6	1.5	1.3	0	0	0	0
chr3	32916	NA	NA	1	34	186	28	80	49	15	4	77	119	17	83	50	66	126	73	5	49	389	396	436	1.8	1.7	2	1.1	3.4	2.3	1	1.8	0	1	0	0
chr3	50483	YCL042W YCL043C YCL040W 	YCL042W PDI1 GLK1 	1	115	144	8	78	91	143	19	132	87	38	55	3356	86	8506	38	15	38	144	133	112	7.6	0.5	4.6	3.6	177.1	305.7	14.9	1.3	1	1	0	1
chr3	50511	YCL042W YCL043C YCL040W 	YCL042W PDI1 GLK1 	1	119	140	13	75	100	167	18	125	86	33	55	3106	87	7083	35	18	38	86	66	87	8.1	0.8	4.4	3.1	161.8	274.9	9.5	1.4	1	1	0	1
chr3	54274	NA	NA	1	41	206	17	111	58	10	12	48	128	15	89	12	107	59	90	16	47	515	575	731	1.9	0.8	1.1	0.9	0.5	0.9	2.5	1.3	0	0	0	0
chr3	66370	YCL031C 	RRP7 	1	43	269	27	102	51	23	15	100	162	40	94	36	110	81	101	20	59	852	779	763	1.5	1.3	1.9	2.2	1.5	1.1	1.1	0.8	0	0	0	0
chr3	137204	YCR011C YCR012W 	ADP1 PGK1 	1	171	242	10	105	117	147	36	334	158	72	80	880	99	1768	60	6	50	75	71	56	6.7	0.5	6.4	4.7	40.4	39.7	14.2	1.4	1	1	0	1
chr3	163691	YCR024C-A 	PMP1 	1	334	175	53	91	256	109	59	543	114	183	95	91	87	293	51	32	124	144	128	111	18.2	2.9	14.4	10	4.8	7.7	6.2	1.4	1	0	0	0
chr3	191224	YCR034W 	FEN1 	1	16	168	27	75	27	19	10	42	110	21	83	41	71	78	62	5	55	541	441	583	0.9	1.8	1.1	1.3	2.6	1.7	0.5	0.9	0	0	0	0
chr3	197314	YCR037C 	PHO87 	1	725	160	8	65	432	145	7	1169	94	39	63	57	46	33	53	5	6	60	102	57	43.1	0.6	37.5	3.2	5.5	0.9	67.1	11.6	1	1	0	0
chr3	208986	YCR045C 	YCR045C 	1	39	143	13	71	39	28	17	42	91	14	62	24	89	125	65	13	51	409	502	475	2.6	0.9	1.4	1.2	1.2	2.6	2.8	1.2	0	0	0	0
chr3	213485	YCR051W YCR050C 	YCR051W YCR050C 	1	36	185	17	84	32	24	12	50	102	12	83	31	92	94	59	16	36	722	564	633	1.8	1	1.5	0.8	1.5	2.1	1.8	1.9	0	0	0	0
chr3	213777	YCR051W YCR050C 	YCR051W YCR050C 	1	32	145	10	71	39	21	11	62	120	18	55	34	93	93	65	19	44	699	528	546	2.1	0.7	1.6	1.7	1.6	2	2.9	0.9	0	0	0	0
chr3	222153	NA	NA	1	24	203	24	102	37	13	12	62	96	14	84	35	119	105	90	10	36	306	383	332	1.1	1.2	2	0.9	1.3	1.6	1	2.2	0	0	0	0
chr3	226223	YCR061W 	YCR061W 	1	108	207	16	74	137	67	56	87	103	12	61	183	95	202	74	15	36	312	177	343	5	1.1	2.5	1	8.8	3.7	4.6	2.6	1	1	0	1
chr3	262597	YCR084C YCR086W 	TUP1 CSM1 	1	36	183	20	68	36	13	9	57	154	20	73	69	61	321	49	8	54	440	668	673	1.9	1.5	1.1	1.5	5.2	8.8	1.2	0.8	0	1	0	1
chr3	264902	YCR088W YCR087C-A 	ABP1 YCR087C-A 	1	51	219	14	77	44	51	5	73	97	21	64	2223	77	4064	62	6	26	243	274	281	2.2	0.9	2.3	1.7	130.7	89.1	2.4	1.3	0	1	0	1
chr3	265275	YCR088W YCR087C-A 	ABP1 YCR087C-A 	1	44	166	19	81	35	18	9	43	104	20	70	70	100	141	65	14	52	202	410	247	2.5	1.2	1.3	1.5	3.2	2.9	2.1	0.8	0	1	0	1
chr3	288848	YCR095C 	YCR095C 	1	10	158	8	45	20	9	4	33	55	9	46	34	29	24	49	4	10	381	409	374	0.6	0.9	1.8	1	5.4	0.7	0.6	1.7	0	0	0	0
chr3	299120	YCR098C 	GIT1 	1	2558	184	18	62	1803	963	39	1127	105	37	63	779	75	1429	58	12	39	210	67	165	132.7	1.5	32.5	3.1	47.4	33.5	89.3	10.5	1	1	0	1
chr3	309486	YCR105W 	YCR105W 	1	28	194	25	87	19	10	15	35	115	15	72	12	73	57	83	11	18	225	302	235	1.4	1.5	0.9	1.1	0.8	0.9	0.9	0.8	0	0	0	0
chr4	24620	NA	NA	1	14	206	14	70	31	6	10	45	118	11	60	24	60	35	71	9	34	406	468	445	0.6	1	1.2	1	1.8	0.7	0.6	1.2	0	0	0	0
chr4	46437	NA	NA	1	54	183	18	89	46	21	6	102	109	23	101	160	95	348	60	15	47	298	382	446	2.8	1	2.8	1.2	7.7	7.9	2.8	2.4	0	1	0	1
chr4	56850	YDL224C 	WHI4 	1	81	157	12	54	79	54	14	179	70	26	48	298	27	245	37	1	17	115	4	125	4.9	1.1	7.7	2.9	49.9	8.9	4.5	2.7	1	1	0	1
chr4	73825	YDL215C 	GDH2 	1	14	219	18	71	50	17	8	49	96	16	84	290	60	444	63	6	35	379	429	359	0.6	1.3	1.5	1	22	9.6	0.5	1.5	0	1	0	1
chr4	89404	YDL206W 	YDL206W 	1	51	192	20	76	30	27	12	28	106	17	69	19	75	27	60	9	34	549	426	395	2.5	1.3	0.8	1.3	1.1	0.6	1.9	0.6	0	0	0	0
chr4	109422	NA	NA	1	14	188	18	65	45	16	15	39	88	20	72	68	63	110	53	6	27	503	464	500	0.7	1.4	1.3	1.4	4.9	2.8	0.5	0.9	0	1	0	1
chr4	116793	YDL192W 	ARF1 	1	54	187	27	76	61	22	16	85	110	19	77	37	82	87	66	13	55	243	284	326	2.7	1.8	2.3	1.3	2	1.8	1.5	1.8	0	0	0	0
chr4	128875	NA	NA	1	47	157	30	69	45	27	9	61	97	19	66	93	89	209	44	8	55	273	225	201	2.9	2.2	1.9	1.5	4.8	6.4	1.3	1.3	0	1	0	1
chr4	131350	YDL184C YDL183C 	RPL41A YDL183C 	1	25	205	14	82	22	14	13	47	112	18	71	13	57	40	70	8	26	354	412	358	1.2	0.9	1.3	1.3	1.1	0.8	1.4	1	0	0	0	0
chr4	140862	NA	NA	1	34	155	12	74	31	11	8	31	112	11	92	272	70	733	56	15	21	655	612	681	2.1	0.8	0.8	0.7	17.7	17.8	2.5	1.3	0	1	0	1
chr4	148233	YDL174C YDL173W 	DLD1 YDL173W 	1	52	234	26	99	47	39	9	47	108	7	95	40	94	172	82	16	33	904	1221	1168	2.1	1.3	1.3	0.4	1.9	2.8	1.6	3.6	0	0	0	1
chr4	149999	NA	NA	1	32	204	17	90	36	10	10	63	118	25	84	321	70	401	82	9	45	590	546	595	1.5	1	1.6	1.5	20.8	6.6	1.5	1.1	0	1	0	1
chr4	150716	NA	NA	1	38	194	15	79	30	9	5	37	105	7	68	58	77	77	73	8	28	654	656	619	1.9	1	1.1	0.5	3.4	1.4	1.9	2	0	1	0	0
chr4	161388	NA	NA	1	27	161	18	62	33	12	9	38	85	17	62	22	74	69	67	4	33	569	670	565	1.6	1.4	1.4	1.4	1.3	1.4	1.1	0.9	0	0	0	0
chr4	172615	YDL159W YDL160C YDL159W-A 	STE7 DHH1 YDL159W-A 	1	25	206	10	88	40	15	10	56	102	15	84	164	78	317	66	12	17	839	593	822	1.2	0.6	1.7	1	9.5	6.5	2	1.7	0	1	0	1
chr4	203456	YDL141W 	BPL1 	1	58	163	18	79	46	19	17	43	117	12	76	112	79	336	62	9	36	351	361	362	3.4	1.2	1.1	0.9	6.4	7.3	2.9	1.3	1	1	0	1
chr4	204280	NA	NA	1	26	157	14	57	28	14	16	31	72	6	58	12	60	32	52	10	20	542	495	508	1.6	1.2	1.3	0.5	0.9	0.8	1.3	2.5	0	0	0	0
chr4	273961	NA	NA	1	221	189	19	71	581	283	22	253	92	15	67	345	48	312	63	13	23	486	390	522	11.1	1.4	8.4	1.1	32.4	6.7	8.2	7.4	1	1	0	1
chr4	286919	YDL095W YDL097C 	PMT1 RPN6 	1	73	187	10	66	61	32	15	81	106	23	63	269	78	339	53	5	26	99	89	57	3.7	0.7	2.3	1.9	15.6	8.6	5	1.2	1	1	0	1
chr4	293226	YDL092W 	SRP14 	1	18	167	15	71	51	24	18	43	88	18	58	832	59	1886	64	8	28	241	386	365	1	1	1.5	1.6	64.6	39.7	1	0.9	0	1	0	1
chr4	345148	YDL059C YDL058W 	RAD59 USO1 	1	30	197	6	64	35	41	9	61	117	25	82	2604	71	5601	81	3	30	293	274	431	1.4	0.5	1.6	1.6	165.9	93.6	3	1	0	1	0	1
chr4	366771	YDL049C 	KNH1 	1	154	200	26	72	206	51	26	200	97	27	56	93	89	151	59	3	34	444	362	423	7.4	1.8	6.2	2.5	4.7	3.5	4	2.5	1	1	0	1
chr4	411010	YDL022W 	GPD1 	1	143	181	29	73	115	118	23	174	104	33	88	1604	102	3948	65	21	38	273	215	282	7.5	2	5	2	71.3	82.1	3.8	2.5	1	1	0	1
chr4	439445	YDL006W 	PTC1 	1	14	191	13	58	29	21	12	64	87	29	60	424	57	886	53	6	26	37	60	100	0.7	1.1	2.2	2.5	33.5	22.6	0.6	0.9	0	1	0	1
chr4	461801	YDR006C YDR007W 	SOK1 TRP1 	1	108	477	35	181	97	60	24	89	143	38	93	355	178	707	77	16	24	659	770	760	2.2	1	1.9	2.1	9	12.4	2.2	0.9	0	1	0	1
chr4	468218	NA	NA	1	35	212	15	76	27	5	12	40	115	8	71	20	49	12	69	2	17	610	570	470	1.6	1	1.1	0.6	1.9	0.2	1.6	1.8	0	0	0	0
chr4	480872	NA	NA	1	29	188	14	74	25	16	8	82	110	13	62	17	87	69	80	17	50	442	439	366	1.5	0.9	2.3	1.1	0.9	1.2	1.6	2	0	0	0	0
chr4	481859	YDR017C 	KCS1 	1	499	216	35	78	286	73	19	648	142	20	80	194	87	118	70	8	45	574	425	584	22	2.3	13.8	1.3	10.1	2.3	9.6	10.7	1	1	0	0
chr4	487104	YDR021W YDR020C 	FAL1 YDR020C 	1	36	216	13	68	23	8	4	30	116	13	71	16	51	10	58	9	6	505	494	518	1.6	0.9	0.8	0.9	1.4	0.2	1.7	0.8	0	0	0	0
chr4	489348	YDR022C YDR023W 	CIS1 SES1 	1	7	120	8	32	8	18	2	55	61	18	39	178	23	132	19	1	7	23	13	18	0.6	1.3	2.7	2.3	35.8	9.2	0.4	1.2	0	1	0	1
chr4	531913	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	535798	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	539317	YDR040C YDR041W 	ENA1 RSM10 	1	797	231	25	82	648	139	37	530	148	42	78	169	109	205	85	19	47	543	351	339	32.9	1.5	10.9	2.8	7.1	3.3	21.6	3.9	1	1	0	1
